ID,Topic,Scenario,Issue,DecomQ,Sections,CourtCase,Analysis,Flow,Conclusion
FC1,Offer and acceptance ,"Vanessa is a vinyl records store owner. She placed an advertisement on a social media platform selling a limited edition vinyl for the price of $500. On Monday, she receives a call from a customer, Niko, to reserve that vinyl. However, Niko told Vanessa that he is unable to make payment at the moment as he is facing financial difficulties, he then requested Vanessa to keep the vinyl for him for a few more days. Vanessa replied saying that “Fine, I will reserve the vinyl for you until Wednesday 8pm. If I don’t hear from you by then, I will sell the vinyl for someone else”. 

On Tuesday, another customer, Ken, called to purchase that vinyl. He offers $700 to purchase it in which Vanessa accepts. Vanessa then immediately calls Niko to inform him that the vinyl was sold to someone else but his phone was unreachable at the time. Vanessa then sent Niko a text message saying that she sold the vinyl to someone else. Turns out Niko went out of town and his phone was out of service. When he came back to collect the vinyl on Wednesday at 4pm, he was annoyed to find out that the vinyl was sold. Niko now threatens to sue for breach of contract. 
Advise Vanessa as to her liability, if any, to Niko and Ken. ",Was there a valid contract between Vanessa and Niko? ,"Was the advertisement put out by Vanessa an invitation to treat or an offer?
Was there an acceptance on the part of Vanessa? 
Whether Vanessa was bound to keep her offer open until Wednesday 8pm?
Was there a communication/ notice of revocation? ",,,,"Invitation to treat > no absolute and unqualified acceptance > not bound to keep her offer open > revocation was invalid because not done by offeror (Niko). Regardless, there was no valid contract because there is no acceptance in the first place. ",There is no valid contract between Vanessa and Niko.
FC2,Offer and acceptance ,"Dean proposed to sell his skateboard for $400 during a phone call with James. James replied, saying that: “Give me some time to consider it, if you do not hear from me by 5pm today, then you may take it as I accept your proposal.”     

On the same day, Dean called another friend, Matty at 7pm asking him if he was interested in buying his skateboard for $400. Since Matty is a professional skater, he is interested in buying it. However, Dean told him that he had called James earlier and that James was also interested in purchasing the skateboard. Dean told Matty that in order for him to purchase the skateboard, he must pay a higher price than the original price of $400. Matty said he would purchase it at the price of $600, the skateboard was sold to Matty. At 7pm, Matty then informed James that he bought the skateboard from Dean. Dean did not hear from James. ",Whether Dean could be liable for breach of contract. ,"Whether James has accepted Dean’s offer? 
Could Dean communicate his revocation of the offer through a third party (Matty)? 
Did the counter offer destroy the original offer? ",,,,"Accepted > Communication of revocation invalid > Even though there is a counter offer between Dean and Matty, the agreement between Dean and James is still valid because James had already accepted the offer by conduct of not replying",Dean is liable for breach of contract. 
FC3,Offer and acceptance ,"Emma advertised a reward of $100 to whoever found her lost cat. Her friend Danny found the cat, but he had no knowledge of the advertisement and the reward. It was only after Danny returned the cat to Emma, then only he found out that he should be entitled to a reward of $100 because Danny’s friend, Gillian told him about Emma’s advertisement. He sought to claim the reward, but Emma refused to make payment. ",Whether there is a contract between Emma and Danny. ,"Was Emma's advertisement an Invitation to treat or an offer? 
Did Danny accept Emma’s offer? 
Was there a meeting of minds between Emma and Danny?",,,,,"There is a valid contract between Emma and Danny, Emma’s refusal to make payment is a breach of contract. 
"
FC4,Offer & acceptance ,"Alan needed money quickly. He owned an original 1886 edition of Kidnapped by Robert Louis Stevenson, a book which he advertised in the newspaper for sale for $1000. In the advertisement, Alan listed his phone number and stated that ‘anyone who is interested to accept the offer should message his phone number directly’. On 11/4/2023, Cate saw the advertisement and posted a letter to Alan saying that she would buy the book for the price stated in the advertisement. However, Alan who has yet to receive the letter, sold the book to David on the next day. After selling the book, Alan received Cate’s letter of acceptance.  ","whether there is a contract between Alan and Cate. 

",,,,,,
FC5,Offer & acceptance ,"Ellie has lost her beloved cat. She puts an advertisement on her personal blog advertising a reward of RM2000 to anyone who finds her cat. Ellie’s neighbour, Frank who saw her advertisement went out to their neighbourhood to search for the cat and managed to find Ellie’s cat. Frank return the cat to Ellie to claim his reward, but Ellie refused to pay him, arguing that the offer had already been withdrawn. However, there is no notice on Ellie’s blog regarding the withdrawal of advertisement.  ",whether there is a contract between Ellie and Frank.  ,,,,,,
FC6,Offer & acceptance ,"Ellie has lost her beloved cat. She puts an advertisement on her personal blog advertising a reward of RM2000 to anyone who finds her cat. Ellie’s neighbour, Frank, did not see her advertisement but he went on a walk in the neighbourhood and spotted the cat. Frank recognised the cat to be Ellie’s so he picked up the cat to return it to Ellie without expecting a reward. After he returned the cat to Ellie, his roommates showed him Ellie’s advertisement and upon seeing the advertisement he realised he had missed out on the reward. On the next day, Frank went to see Ellie with the hope of claiming the reward but Ellie refused to pay him.  ",whether there is a valid contract between Ellie and Frank.  ,,,,,,
FC7,Offer & acceptance ,"Michelle is in need of money, she wanted to sell a vintage jewelry passed down by her grandmother. She offered to sell her vintage jewelry to her friend Alice at RM2000. Alice said that she would think about it. Michelle then told Alice that she would keep the offer open for 5 days. 2 days later, Alice learned that Michelle’s vintage jewelry is actually worth up to RM5000 at market price and wishes to accept the offer. However, Michelle has already sold the jewelry off to another friend. Alice argued that Michelle is in breach of contract as she has promised to keep the offer open for 5 days.  ",whether there is a valid contract between Michelle and Alice. ,,,,,,
FC8,Consideration ,"X has been suffering from a chronic disease for a period of time, so she decided to allocate her shares and make registrations accordingly before she dies. In the written document, X intends to transfer every property that she has to her son before death. She also wishes to transfer a car to a close friend of hers, as they have been very good friends since many years ago. ",Was the document valid as a contract? ,"Was there a consideration? 
Was the requirements under S.26(a) satisfied? 
Will the son receive an automatic entitlement? 
Will the close friend receive an automatic entitlement? ",,,,"No consideration, but falls under the first exception of S.26(a) (love and affection) > First two requirements satisfied, third and fourth requirements not satisfied > son will receive due to love + near relations > close friend will not receive even though there might be natural love and affection due to friendship, but does not satisfy the definition of near relations.
","The document is only valid as a contract regarding the transfer to the son, the transfer to close friend is invalid. "
FC9,Consideration ,"Steve wants to buy a house from Fred. The bungalow that Steve intended to buy is at the price of $500,000. Due to past business dealings, Fred offered to sell the house to Steve at a lower price of $450,000, but Fred orally mentioned that Steve will only be eligible to this discounted price if Steve promises to clean the house. Since Steve was currently facing financial difficulties, he agreed to clean the house in order to obtain the house at a lower price. 

Meanwhile, Steve also approached Jane to purchase some furniture for his future house. Steve appealed to Jane to accept $200 for a couch which was originally priced at $300 as full settlement. Jane in her usual display of charity accepted the smaller sum. 

After Steve finished cleaning the house and approached Fred again to inform him that he was ready to purchase the bungalow at $450,000, Fred changed his mind and refused to transfer the house to Steve unless Steve paid the original amount of $500,000 to buy the house. Jane later thinks that Steve always takes kindness for granted and now she wants full payment of the couch. Steve now sue for specific performance. ",Whether Steve and Jane can change their mind and demand repayment of the whole payment.,"Whether Fred’s promise to discount the price was supported by considerations? 
Does cleaning the house amount to sufficient considerations? 
Was Jane’s promise to accept $200 supported by considerations? 
Does $200 amount to sufficient consideration? ",,,,"It is supported by consideration [Steve’s promise to clean the house] > It is sufficient S.24, a promise in exchange for a promise > It is supported by consideration as payment of a lesser sum is a good consideration > amounted to sufficient consideration [s.64 CA] ",Steve and Jane cannot change their mind and demand repayment of the whole payment. 
FC10,Consideration ,"Kim hired a part time maid named Fatihah, and she was under a Maid Agency called MA company. She would come to Kim’s house every Wednesday for 3 hours to clean her house, and Kim would pay her $80 once she completed her work. 
In her prescribed job scope, Kim wanted her to clean the 4 bedrooms in the house, trim the grass in the backyard as well as cleaning the kitchen.
Last Wednesday, Fatihah helped Kim to wash her car and made her lunch as she had already completed her job. Since this was not in the job scope, Fatihah sought for an additional $20 as she had done something over and above her prescribed job scope. Kim refused to pay the additional $20, MA now sought to sue Kim for not paying Fatihah’s extra work. ",Whether Fatihah’s extra work is supported by valid considerations,"Does Fatihah’s action amount to a past consideration? 
Was Fatihah’s action under the request of the promisor (Kim)?
Does Fatihah’s action (of washing the car and making her lunch) amount to valid consideration in order for her to claim the extra $20? ",,,,It amounts to a past consideration (performance first) > The extra work done was not under the request of the promisor > Does not amount to a valid consideration ,"Fatihah’s extra work was not supported by valid considerations, she is unable to claim the extra $20. "
FC11,Intention to create legal relations ,"Henry and Willow are married. During the period where Henry and Willow were in a bad state, Henry promised to pay Willow $20 per week as weekly allowance and to take good care of their child while he was away for work. They made this agreement briefly through text message. Despite being in a bad state, they were still living together because they have a daughter to take care of. While Henry was working overseas,  he stopped transferring the money as promised to Willow after paying for the first few weeks. Willow sought to claim for her weekly allowance and sued Henry for a breach of contract. ",Was there a breach of contract on part of Henry? ,"Does Henry and Willow’s marital status give rise to an intention to create legal relations? 
Does the method of making this agreement give rise to an intention to be legally binding?
Was there a breach of contract on part of Henry? ",,,,"Since Henry and Willow are husband and wife, and they are still living together, it is presumed that there is no intention to create legal relations> An informal agreement [through text] may be deemed as void > since there is no ITCLR, there is no breach of contract. ",
FC12,Intention to create legal relations ,"While Penny and her friend, Tina were having brunch together on Saturday, Penny made an agreement with Tina that, as soon as she found a new place to move in, she will transfer the property that she is currently living in to Tina. In order to ensure that Penny would fulfill her promise, Tina requested her to briefly write it down on a piece of paper, stating that: “I, Penny, will transfer the house that I am living in to Tina as soon as I find a new place to move in”. 

After months of finding a new place, Penny has finally found an ideal studio apartment that suits all her needs and immediately informed Tina that she will be transferring her old house to Tina. Upon hearing this news, Tina quickly packed her belongings and prepared to move into Penny’s old house. However, after a thorough consideration, Penny changes her mind and decides not to move anymore. Tina wants to sue for specific performance. ",Whether Penny was legally bound to transfer the house to Tina. ,"Does the performance of the condition give rise to an enforceable contract? 
Does the method of creating this promise affect the enforceability of the promise to transfer the house to Tina? 
Does the relationship between Tina and Penny affect the enforceability of the promise to transfer the house to Tina? ",,,,"The performance of the condition [found an ideal place to move into] gave rise to an enforceable contract > informally created an agreement [briefly on a paper], the contract is void > social agreements [between friends] are presumed to not be legally bound. ",Penny was not legally bound to transfer the house to Tina. 
FC13,Intention to create legal relations ,"An insurance company, company X offers to pay ex gratia payment of $600 to employers who worked overtime, including Lucy and Dominic. In the offer, the company had a condition that this ex gratia payment would only be issued if a targeted number of clients was achieved in July. The offer stated: “This ex-gratia payment is only valid if we are able to achieve 200 clients in July”. The offer to Lucy does not include this statement. Both Dominic and Lucy accepted this offer by sending a letter of acceptance to company X.  

In July, company X had successfully achieved a targeted number of 200 clients. However, their business was going downhill. Hence, they decided to revoke the offer by sending a letter of revocation to every employee who worked overtime. Dominic and Lucy now seek your advice as to whether they had entered into a legally binding contract with company X. ",Whether company X was legally bound to issue the $600 payment as promised to Lucy and Dominic. ,"Does the offer of an ex gratia payment carry any legal effect?
Was the notice of revocation validly communicated to Lucy and Dominic? 
Does the fulfillment of the condition give rise to a legally binding contract? 
Does the absence of the condition in the offer affects the validity of the offer? ",,,,"Ex gratia payment carries legal effect [Edwards v Skyways Ltd [1964] 1 WLR 349]  > the performance of the condition gave rise to a legally binding contract > Even if the condition is absence [the offer to Lucy does not include this statement], the offer is still valid provided that the condition was being performed. ",Company X was legally bound to issue the $600 payment as promised to Lucy and Dominic. 
FC14,Capacity ,"James and Clarence are both seventeen years old, and their dream is to open a cafe together in the future and become a full time barista. They stumbled upon a coffee workshop advertisement on a hallway, and decided to attend it. The organizer told them that they can pay their fees of $500 through an installment of 4 months after attending it. James and Clarence attended the workshop, but they only managed to pay ⅓ of the fees in the duration of 4 months. The organizer now threatens to take legal action against both of them. 
Advise James and Clarence as to their liabilities. ","Whether James and Clarence could be liable for breach of agreement
","Are James and Clarence competent to enter into a contract
If not, is this agreement between them (James and Clarence) and the organizer a contract for necessity? 
Will a contract for necessity render them liable?",,,,Not competent > it is a contract suited to their life (to run a business in near future) > a contract for necessity will render them liable for not being able to pay the full amount of fees on time. ,James and Clarence will be liable for breach of agreement. 
FC15,Capacity ,"Amy is 21 years old, and she is a property agent. She went out for drinks with her high school friends on a Friday night. On the following day, one of her friend, Debbie, who went to drink with her called to thank her for agreeing to sell a property to Debbie for an exceptionally low price. Amy does not have any impression that she made such an agreement, she then asked Debbie how much did she offer for the property, Debbie replied: “You offered me 10 dollars for the property! Don’t you remember that you’ve also written it down on a piece of paper?” Amy was speechless, asserting that she was not being serious about that agreement as she was drunk at the time. Debbie now wants to sue Amy for a breach of agreement.",Was there a valid contract between Debbie and Amy? ,"Was Amy a competent party at the time of making the contract?
If not, would she be bound by the agreement? ",,,,,"There is no valid contract between Debbie and Amy, Amy would not be liable for breach of agreement. "
FC16,Capacity ,"Jude was a famous dancer since she was 15 years old, she had made her appearances on various reality shows. When she was 17 years old, she entered into a contract with Candy, her dance instructor, which was valid until June 2023. 

In the agreement with Candy, it was upon the mutual agreement that Candy would organize and schedule all of her training, performances and dance competitions that she would participate in. In return, Jude must agree to follow Candy’s instructions, and also to pay Candy ⅓ of her winnings from competitions, along with performance fees. 

In December 2022, Jude refused to follow Candy’s instruction to participate in an International dance recital involving world’s famous dancers, where the performance fee was $300. On top of that, she also disobeyed her instruction to participate in Step Up! dance competition where the total reward for grand prize was $500,000.

Candy alleged that Jude is legally bound to obey her instructions, and sought to sue for a breach of contract. ",Was there a breach of contract? ,"Is Jude a competent party to the contract? 
If she is not, would she be bound by the agreement? 
Is the agreement between Candy and Jude a contract for necessity? ",,,,,"Jude will be liable for breach of contract. 
"
FC17,Offer and acceptance & Intention to create legal relations  ,"Abby and Tiana are sisters who are very close. Abby owns a bakery while Tiana owns a cafe that only specializes in selling coffee. One day, over dinner, Tiana mentioned that she wants to include pastry and cakes in her menu and proposed that Abby could supply the pastry and cakes for half her usual price as a special sister discount to which Abby jokingly responded with yes. Abby and Tiana never talk about the proposal again after that day but a few weeks later Tiana shows up at Abby's office with a document saying that she needs to sign it and if she does not sign it she will sue Abby for a breach of contract. 

Abby's bakery has not been doing well, she wants to hire someone to do a rebrand for her bakery so she puts out an advertisement of hire stating the job scope, the salary and that anyone who is interested should send in their application. Upon seeing the advertisement, Elena applied for the job. A few weeks has passed but Elena has yet to receive any reply from Abby so she decided to apply for another job. After she was hired for the other job, she sent an email to Abby during a weekday on business hours saying that she no longer wanted the job. Abby did not check her email because she was lazy and without knowing that Elena had already sent her an email, she replied to Elena's application email stating that Elena has been accepted for the job and that she should start working on Monday. When Elena did not turn up on Monday, she called Elena to complain that she had breached their contract. ",whether there is a breach of contract between Abby and Tiana and whether there is a breach of contract between Abby and Elena. ,,,,,,
FC18,Offer and acceptance & capacity to contract ,"Lowel wants to sell her limited edition book to earn some quick money. She put up an advertisement which stated that anyone who is interested in buying the book at RM 1000 should text his number.  Upon seeing this advertisement Nina, who is 15 years old, sent a text message to Lowel's number saying that she is interested in buying the book but she is only willing to buy the book at RM500. Lowel responded by saying that 500 is too cheap, and that the lowest price she is willing to sell is RM 700. Nina accepted the price and said that she is willing to buy it at 700. Before ending the negotiation, Lowel asked about Nina's age to which she lies to say she is 20 years old. A few days later when Lowel was preparing to ship the book, Nina confessed that she does not have money to pay for the book because she is only 15 years old. ",whether Lowel can sue Nina for a breach of contract. ,,,,,,
FC19,capacity & considerations ,"Ken is a charitable rich man who owns a profitable business, he recently started a project to provide full scholarships for students who are unable to afford college tuition fees. While looking for a suitable candidate to manage the fund for the scholarships, he decided to reach out to John, who is an intern at his company. He offered to increase RM500 for John's intern salary in return for him managing the fund, John accepted this offer. John started working on management of scholarship funds but he quickly realized that the market price of the salary for scholarship fund manager is much more than RM500. He brought this up to Ken, saying that he should not be bound by their contract because there is insufficient consideration. 

Lila is 17 years old, she wishes to go to a college but is unable to afford it so she applied for a scholarship under Ken's programme. Lila was accepted and had received the funds for the first semester's tuition fees. Meanwhile, Ken's business has taken a turn for the worse, he wants to allocate the scholarship funds to save his business. Lila who has yet to receive the fund for the second semester decided to write an email to Ken but Ken responded that he is no longer paying for Lila's college tuition fees because he is not bound by the contract due to lack of considerations. "," whether there is a contract between Ken and John, whether there is a contract between Ken and Lila. ",,,,,,
FC20,Capacity & considerations & intention to create legal relations ,"Barbara is a successful business woman, she has two daughters. Her eldest daughter, Millicent is a business graduate who is struggling to find a job so she offered to employ the daughter but instead of paying the salary at market price, she offered to pay an allowance of RM500 because Millicent still lives at home and does not pay her own bills. Barbara did not make Millicent sign any employment contract nor did she write down their agreement. Few weeks later, Barbara decided to fire Millicent because she is lazy at work but Millicent argued that that would be in breach of the contract between them. 

Babara's second daughter, Robert, is still studying in highschool. Robert is good at every subject except for Math, so Barbara promised to pay her an award of RM1000 if she manages to score A for her math this semester. Eventually, Robert managed to get an A for her math in the semester after studying with extra efforts but when she tried to claim for her award, Barbara said that she had forgotten about the promise. In a fit of rage, Robert went online to buy a designer item on a buy now pay later basis even though she could not afford to pay later. The designer company has threatened to take legal action against Robert if she does not pay up. ","whether there is a contract between Barbara and Millicent, whether there is a contract between Babara and Robert, whether there is a contract between Robert and the designer company. ",,,,,,
FC21,Offer and acceptance & capacity & considerations ,"Raquel owns an antique piece of furniture and she wants to sell it. She puts an advertisement on her facebook page stating that whoever is interested in buying it should message her and that she is willing to negotiate the price. Upon seeing this advertisement Chelsea, who is 15 years old , sent a text message to Lowel's number saying that she is interested in buying the book but she is only willing to buy it at RM1000. Raquel responded by saying that RM1000 is too cheap, and that the lowest price she is willing to sell is RM 7000. Although Chelsea comes from a rich background, she only receives a monthly allowance of RM2000 so she told Raquel that she will think about it and Raquel said that she will put the book on hold for her for 7 days. The next day, Raquel's best friend, Portia messaged her saying that she is willing to pay RM 7000 for the antique furniture. Raquel then responds by saying that she will sell it to Portia at a special discounted price of RM4000 because in the past Portia had helped her renovate her house for free. Portia accepted this offer. After concluding their agreement, Raquel discovered that someone had offered to buy the furniture for RM20,000 because the furniture is actually very rare on the market, so she decided not to sell the furniture to Portia anymore. Raquel then sends a message to Chelsea that she is no longer selling the furniture at RM 7000 but Chelsea argues that Raquel has promised to keep her offer open for 7 days and she would be in breach of contract if she changes her mind. 
"," whether there is a contract between Raquel and Chelsea, whether there is a contract between Raquel and Portia. ",,,,,,
FC22,Capacity & considerations & intention to create legal relations ,"Delancy's parents bought two adjoining houses for her as a 21st birthday present. She moved into one of the houses because it is nearer to her workplace but decided to rent the second house out to Debbie, a college student who studies nearby. Delancy offered to rent the house to Debbie at a reduced rate during her college years. In reliance on Delancy's promise, Debbie decided to rent the house. 3 years later, Debbie has graduated college and Delancy now demands for the payment of rent at normal rate and also payment full rent during her college years. 

As the years go by Delancy has gotten lonely in her house because she is the only one living there so she offered her childhood best friends, Blair, to move into her place. Blair is currently renting a cheap apartment and she told Delancy that she could not afford to pay her the rent for the house. However, Delancy decided that she would let Blair stay at her place rent free so Blair agreed. After deciding to move in with Delancy, Blair goes through the process of ending her lease, packing her stuff but on the day of moving in Delancy passes Blair a tenancy agreement demanding for a rent of RM1200 per month. 

Delancy's younger sister, Emily, studies at a secondary school near her house so she often comes over after school hours. Delancy told Emily that if she helps do the dishes every time she comes over, she will pay her RM50 for each time that she does it. Emily helps with dishes every time she comes over but Delancy has yet to pay her anything. 
",,,,,,,
FC23,offer and acceptance & considerations & capacity & intention to create legal relations ,,,,,,,,
